level;char;on;kun;meaning
N3;賛;サン;たす.ける,たた.える;louange, approbation, approuver
N4;質;シツ;たち,ただ.す,もと;substance, matière, qualité
N4;赤;セキ;あか.い;rouge
N4;走;ソウ;はし.る;courir
N4;起;キ;お.きる,お.こす;se lever, se réveiller, réveiller
N3;越;エツ,オツ;こ.す,こ.える;surpasser, dépasser, traverser
N5;足;ソク;あし,た.りる,た.す;jambe, être suffisant, ajouter
N3;路;ロ,ル;みち;route, chemin, voie
N5;車;シャ;くるま;véhicule, voiture
N4;転;テン;ころ.ぶ,まろ.ぶ;tourner, rouler
N4;軽;ケイ;かる.い;léger, sans importance
N3;辞;ジ;や.める;mot, terme, expression, renoncer à, cesser
N3;込;;こ.む;plein de monde, être rempli, mélange
N3;迎;ゲイ;むか.える;accueillir, rencontrer
N4;近;キン,コン;ちか.い;proche, récent
N3;返;ヘン;かえ.す,かえ.る;rendre, retourner
N3;迷;メイ;まよ.う;s'égarer, se perdre, perdu
N3;追;ツイ;お.う;pourchasser, suivre, poursuivre
N3;退;タイ;しりぞ .く,の.ける,ど. く;retraite, se retirer, exclure, rejeter
N4;送;ソウ;おく.る;envoyer, expédier, escorter
N3;逃;トウ;に.げる,のが.す;s'échapper, s'enfuir, s'évader
N4;通;ツウ,ツ;とお.る,とお.り,かよ. う;circulation, rue, trajet (travail)
N3;速;ソク;はや.い;rapide (en vitesse), vite
N3;連;レン;つ.れる,つら.なる;emmener, accompagner, partie, bande
N5;週;シュウ -;;semaine
N4;進;シン;すす.む;avancer, progresser
N3;遅;チ;おく.れる,おそ.い;être en retard, lent, retard
N3;遊;ユウ;あそ.ぶ;jouer
N4;運;ウン;はこ.ぶ;transporter, destin, chance
N3;過;カ;す.ぎる,あやま .つ;dépasser, excéder
N5;道;ドウ;みち;voie, route, chemin
N3;達;タツ,ダ;たち;atteindre, arriver, suffixe du pluriel
N3;違;イ;ちが.う,ちが.い,ちが. える;différer, différence, être différent
N4;遠;エン,オン;とお.い;loin, distant
N3;適;テキ;かな.う;approprié, qualifié, convenable
N3;選;セン;えら.ぶ;choisir, sélectionner, élection
N3;部;ブ;べ;section, portion, partie, service
N4;都;ト,ツ;みやこ;capitale, métropôle
N3;配;ハイ;くば.る;livrer, distribuer
N3;酒;シュ;さけ;alcool, sake
N4;重;ジュウ,チョウ;おも.い;lourd
N4;野;ヤ;の;campagne, plaine, champ
N5;金;キン,コン;かね;or
N4;銀;ギン;しろがね;argent (minerai)
N5;長;チョウ;なが.い;chef, long
N4;門;モン;かど,と;porte, entrée, portail
N3;閉;ヘイ;と.じる,し.める,し.ま る,た.てる;fermer, se fermer
N4;開;カイ;ひら.く,あ.く,あ.ける;ouvrir, s'ouvrir
N5;間;カン;あいだ,ま;intervalle
N3;関;カン;せき,かか.わる;barrière, péage, lien, relation
N3;降;コウ,ゴ;お.りる,ふ.る;descendre, tomber (pluie, neige)
N3;限;ゲン;かぎ.る;limiter, restreindre
N3;除;ジョ,ジ;のぞ.く;exclure, annuler, division (mathématique)
N3;険;ケン;けわ.しい;escarpé, raide, abrupt, lieu inaccessible
N3;陽;ヨウ;ひ;énergie positive, soleil
N3;際;サイ;きわ;occasion, moment, bord, extrémité
N4;集;シュウ;あつ.まる,あつ.める;rassembler, réunir
N3;雑;ザツ,ゾウ;まじ.える,まじ.る;divers, varié
N3;難;ナン;むずか .しい;difficile, problème, accident
N5;雨;ウ;あめ;pluie
N3;雪;セツ;ゆき;neige
N5;電;デン -;;électricité
N4;青;セイ,ショウ;あお.い;bleu, vert, inexpérience
N3;静;セイ,ジョウ;しず.か,しず.まる,し ず.める;calme, paisible, se calmer, calmer
N3;非;ヒ;あら.ず;faute, injustice, négatif, condamner
N3;面;メン,ベン;おもて;surface, masque, face
N3;靴;カ;くつ;chaussure
N4;音;オン,イン;おと;son, bruit
N3;頂;チョウ;いただ .く;sommet, pic, recevoir
N4;頭;トウ,ズ;あたま;tête, compteur pour les gros animaux
N3;頼;ライ;たの.む,たよ.る;demander, compter sur, confiance
N4;題;ダイ -;;sujet, thème
N4;顔;ガン;かお;visage, face
N3;願;ガン;ねが.う,ねがい;souhaiter, souhait, vœu, espoir
N3;類;ルイ;たぐ.い;variété, sorte, genre
N4;風;フウ,フ;かぜ;vent, air, apparence, manière
N3;飛;ヒ;と.ぶ;voler, s'envoler
N5;食;ショク;た.べる;manger, nourriture
N4;飯;ハン;めし;riz cuit, repas
N5;飲;イン,オン;の.む;boire, boisson
N4;館;カン;やかた,たて;grand bâtiment, résidence
N4;首;シュ;くび;cou, compteur de chansons/poèmes
N3;馬;バ;うま;cheval
N5;駅;エキ -;;gare
N5;高;コウ;たか.い;haut, élevé, cher
N3;髪;ハツ;かみ;cheveux
N5;魚;ギョ;うお,さかな;poisson
N4;鳥;チョウ;とり;oiseau
N3;鳴;メイ;な.く;pousser son cri pour un animal (aboyer, miauler…)
N4;黒;コク;くろ.い;noir
N2;並;ヘイ;な.み,なら.べる,なら.ぶ;alignée, rangée, mettre en rang, faire la queue
N2;丸;ガン;まる.い;rond, circulaire
N2;久;キュウ,ク;ひさ.しい;ancien, qui dure, depuis longtemps
N2;乱;ラン,ロン;みだ.る,おさ.める,わ た.る;rébellion, émeute, mettre en désordre, confusion
N2;乳;ニュウ;ちち,ち;sein, lait maternel
N2;乾;カン,ケン;かわ.く,ほ.す,ひ.る;vider (un verre), sécher, sécheresse
N2;了;リョウ -;;achevé, fini
N2;介;カイ -;;intermédiaire, intervention, coquillage
N2;仏;ブツ,フツ;ほとけ;Bouddha, France, français
N2;令;レイ -;;ordre, commandement, décret
N2;仮;カ,ケ;かり;temporaire, provisoire, nom d'emprunt
N2;仲;チュウ;なか;rapport, relation, médiation
N2;伸;シン;の.びる;élargir, étendre, étirer, allonger
N2;伺;シ;うかが .う;demander, questionner, visiter (hon), présenter ses respects
N2;依;イ,エ;よ.る;dépendant, dû à
N2;価;カ,ケ;あたい;prix, valeur
N2;保;ホ,ホウ;たも.つ;préserver, maintenir, garantir
N2;修;シュウ,シュ;おさ.める;bien se conduire, discipline, maîtrise
N2;個;コ,カ -;;individuel, privé, compteur d'articles ou d'unités militaires
N2;倍;バイ -;;double, deux fois
N2;停;テイ;と.める,と.まる;arrêt, s'arrêter
N2;健;ケン;すこ.やか;pleine forme, bien portant, sain
N2;傾;ケイ;かたむ .く,かたぶ .く,かた.げる;pencher, incliner, basculer, sombrer
N2;像;ゾウ -;;portrait, figure, représentation
N2;億;オク -;;cent million, 10^8
N2;兆;チョウ;きざ.す,きざ.し;signe, présage, donner signe, 10^12
N2;児;ジ,ニ;こ;nouveau -né, enfant
N2;党;トウ;なかま,むら;parti politique, faction
N2;公;コウ,ク;おおやけ;public, officiel
N2;兵;ヘイ,ヒョウ;つわもの;soldat, guerrier, troupes
N2;冊;サツ,サク;ふみ;tome, volume, compteur pour les livres
N2;再;サイ,サ;ふたた .び;pour la seconde fois, de nouveau
N2;凍;トウ;こお.る,こご.える,い.てる,し.みる;geler, congeler
N2;刉;カン -;;publication, édition, publier
N2;刷;サツ;す.る;impression, imprimer
N2;券;ケン -;;coupon, ticket
N2;刺;シ;さ.す,さし,とげ;percer, piquer, enfoncer, carte de visite
N2;則;ソク;のっと .る;règlement, norme, loi
N2;副;フク -;;vice-, accompagnement
N2;劇;ゲキ -;;pièce de théâtre, théâtre
N2;効;コウ;き.く;être efficace, efficace, mérite
N2;勇;ユウ;いさ.む;avoir du courage, bravoure, verve
N2;募;ボ;つの.る;empirer, recruter, devenir violent, contribution (monétaire)
N2;勢;セイ,ゼイ;いきお .い,はずみ;énergie, vigueur, puissance
N2;包;ホウ;つつ.む;envelopper, emballer, recouvrir
N2;匹;ヒツ;ひき;rouleau de tissu, compteur pour les petits animaux, égal
N2;卒;ソツ;お.える,お.わる;fin des études, soldat, serviteur
N2;協;キョウ -;;coopération
N2;占;セン;うらな .う,し.める;divination, bonne aventure, tenir, posséder, prendre
N2;卵;ラン;たまご œ;uf
N2;厚;コウ;あつ.い;épais, lourd, cordial
N2;双;ソウ;ふた,ふたつ;paire, deux parties, compteurs pour les paires
N2;叫;キョウ;さけ.ぶ;crier, hurler
N2;召;ショウ;め.す;appeler, faire venir à soi, porter (des vêtements), attraper (un rhume), prendre (un bain), manger, boire
N2;可;カ,コク;べ.き,べ.し;possible, réalisable, acceptable
N2;史;シ -;;histoire, chronique
N2;司;シ;つかさど .る;administrer, gouverner, directeur
N2;各;カク;おのおの;chaque, chacun
N2;含;ガン;ふく.む;inclure, garder à l'esprit, retenir
N2;周;シュウ;まわ.り;tour, alentours, rotation
N2;咲;ショウ;さ.く;éclore, fleurir, floraison
N2;善;ゼン;よ.い,い.い,よ.く;bien, bonté, vertu
N2;喫;キツ -;;consommer, manger, boire, fumer
N2;営;エイ;いとな .む;diriger (un spectacle, une entreprise), travail
N2;器;キ;うつわ;ustensile, instrument, appareil
N2;団;ダン,トン;かたまり,まる.い;groupe, association
N2;囲;イ;かこ.む;entourer, assiéger, encercler
N2;固;コ;かた.い,かた.める;dur, ferme, solide, durcir
N2;圧;アツ,エン,オウ;お.す,へ.す,おさ.える,お.さえる;pression, domination, submerger, dominer
N2;坂;ハン;さか;pente, colline
N2;均;キン;なら.す;égalisé, aplani, nivelé
N2;坊;ボウ -;;enfant, garçon, prêtre bouddhiste, bonze
N2;型;ケイ;かた;modèle, type
N2;埋;マイ;う.める,うず.める,い.ける;enterrer, ensevelir, enfouir, remplir
N2;城;ジョウ;しろ;château, forteresse
N2;域;イキ -;;zone, région, limite
N2;基;キ;もと,もとい;base, fondement, fondations
N2;塔;トウ -;;pagode, tour
N2;塩;エン;しお;sel
N2;境;キョウ,ケイ;さかい;frontière, région, environnement
N2;壁;ヘキ;かべ;mur, paroi, barrière
N2;央;オウ -;;centre, milieu
N2;奥;オウ;おく,おく.まる,くま;intérieur, cœur, épouse
N2;姓;セイ,ショウ -;;nom de famille
N2;委;イ;ゆだ.ねる;comité, confier, déléguer
N2;季;キ -;;saison
N2;孫;ソン;まご;descendance, petits -enfants
N2;宇;ウ -;;firmament, cieux
N2;宙;チュウ -;;espace, air
N2;宝;ホウ;たから;trésor, objet précieux
N2;寺;ジ;てら;temple bouddhiste
N2;封;フウ,ホウ -;;sceller, fermer, sceau
N2;専;セン;もっぱ .ら;spécialité, exclusivement
N2;将;ショウ;まさ.に;commandant, général, l'un après l'autre
N2;導;ドウ;みちび .く;mener, guider, conduire
N2;届;カイ;とど.ける;remettre, livrer, notification
N2;展;テン -;;développement, déploiement, exposition
N2;層;ソウ -;;strate, niveau, couche
N2;岩;ガン;いわ;rocher, roc, falaise
N2;岸;ガン;きし;rivage, rive
N2;島;トウ;しま;île
N2;州;シュウ;す;province, état
N2;巨;キョ -;;gigantesque, énorme, gros
N2;巻;カン,ケン;ま.く,まき;enrouler, rouleau, tome
N2;布;フ;ぬの;linge, tissu
N2;希;キ;まれ;espoir, souhait, désir
N2;帯;タイ;お.びる,おび;ceinture, zone
N2;帽;ボウ -;;casquette, chapeau, couvre -chef
N2;幅;フク;はば;largeur, kakemono, rouleau suspendu au mur
N2;干;カン;ほ.す,ひ.る;sécher, sec
N2;幼;ヨウ;おさな .い;enfance, enfantin, puéril
N2;庁;チョウ,テイ;やくしょ;bureau gouvernemental
N2;床;ショウ;とこ,ゆか;plancher, lit, tatami, compteur pour les lits
N2;底;テイ;そこ;fond, profondeur
N2;府;フ -;;préfecture, bureau gouvernemental
N2;庫;コ,ク;くら;entrepôt, stock
N2;康;コウ -;;tranquille, paisible, calme
N2;延;エン;の.びる,の.ばす;allonger, prolonger, être prolongé
N2;張;チョウ;は.る;allonger, étirer, fixer, coller, tendre
N2;律;リツ -;;loi, régulation, rythme
N2;復;フク;また;retourner, reprendre, restaurer
N2;志;シ;こころざ .す,こころざ し;volonté, intention, avoir l'intention de
N2;忚;オウ;こた.える;répondre, postuler, accepter
N2;快;カイ;こころよ .い;agréable, plaisant, confortable
N2;恋;レン;こ.う,こい;amour, être amoureux
N2;恵;ケイ,エ;めぐ.む;service, faveur, bienfait, grâce
N2;患;カン;わずら .う;souffrir de, maladie, souffrance
N2;悩;ノウ;なや.む;ennui, souci, peine, tourment
N2;戸;コ;と;porte
N2;批;ヒ -;;critique, analyse, commentaire
N2;承;ショウ,ジョウ;うけたまわ .る;entendre, recevoir, être informé
N2;技;ギ;わざ;technique, habileté, prouesse
N2;担;タン;かつ.ぐ,にな.う;porter sur le dos, se charger de, responsable
N2;拝;ハイ;おが.む,おろが .む;vénérer, prier, adorer
N2;拡;カク,コウ;ひろ.がる;élargir, étendre, agrandir
N2;拾;シュウ;ひろ.う;ramasser, recueillir, cueillir
N2;捜;ソウ,シュ,シュウ;さが.す;chercher, rechercher
N2;捨;シャ;す.てる;jeter, abandonner, démissionner
N2;掃;ソウ,シュ;は.く;nettoyer, balayer
N2;授;ジュ;さず.ける;conférer, accorder
N2;掘;クツ;ほ.る;creuser, fouiller
N2;採;サイ;と.る;prendre, récolter, cueillir
N2;接;セツ,ショウ;つ.ぐ;toucher, contact, joindre
N2;換;カン;か.える;échanger, remplacer
N2;損;ソン;そこ.なう;blesser, cause du dommage, nuire
N2;操;ソウ,サン;みさお,あやつ .る;manipuler, mener, diriger, fidélité, chasteté
N2;改;カイ;あらた .める;modifier, améliorer, réformer
N2;故;コ;ゆえ,ふる.い,もと;défunt, circonstances, cause
N2;救;キュウ;すく.う;secourir, sauver, aider
N2;敬;ケイ,キョウ;うやま .う;respecter, vénérer, honorer
N2;整;セイ;ととの .える;mettre en ordre, arranger
N2;旧;キュウ;ふる.い,もと;ancien, d'autrefois
N2;昇;ショウ;のぼ.る;s'élever, grimper, monter
N2;星;セイ;ほし;étoile
N2;普;フ;あまね .く;universel, large, général, Prusse
N2;暖;ダン,ノン;あたた .かい,あたた .め る;chaleur, chauffer
N2;暴;ボウ,バク;あば.く,あば.れる;agir violemment, cruauté, violence, dévoiler
N2;曇;ドン;くも.る;temps couvert, nuageux, se couvrir (temps)
N2;替;タイ;か.わる;remplacer, substituer, échanger
N2;札;サツ;ふだ;étiquette, carte, compteur de billets
N2;机;キ;つくえ;table, bureau
N2;材;ザイ -;;matériau, ingrédient, talent
N2;条;ジョウ;えだ,すじ;article, clause, bande
N2;板;ハン;いた;planche, panneau, plaque
N2;枚;マイ,バイ -;;feuille de, compteur d'objets plats
N2;枝;シ;えだ;branche, rameau, brindille
N2;枯;コ;か.れる;flétrir, s'épuiser, dépérir
N2;柔;ジュウ,ニュウ;やわ.らか;tendresse, douceur, souplesse
N2;査;サ -;;investigation
N2;栄;エイ;は.え,は.える;florissant, prospère, prospérer
N2;根;コン;ね;persévérance, racine, origine
N2;案;アン;つくえ;proposition suggestion, plan, réflexion
N2;械;カイ;かせ;machine
N2;棒;ボウ -;;bâton, barre, baguette
N2;植;ショク;う.える;planter
N2;検;ケン;しら.べる;investigation, inspection, examen
N2;極;キョク,ゴク;きわ.める;pôles (Nord et Sud), arriver jusqu'au bout, hautement
N2;標;ヒョウ;しるべ,しるし;empreinte, marque, tampon
N2;橋;キョウ;はし;pont
N2;欧;オウ;うた.う,は.く;Europe
N2;武;ブ,ム;たけ.し;chevalerie, guerre, militaire
N2;歴;レキ,レッキ -;;le temps qui passe, curriculum
N2;死;シ;し.ぬ;mourir, mort
N2;殿;デン;との,どの;manoir, demeure, palais, temple, Monseigneur
N2;毒;ドク -;;poison
N2;比;ヒ;くら.べる;comparer, proportion
N2;毛;モウ;け;poil, cheveux, plumage
N2;氷;ヒョウ;こおり,こお.る;glace, glacer
N2;永;エイ;なが.い;éternité, long en temps
N2;汗;カン;あせ;sueur, transpiration
N2;汚;オ;けが.れる,よご.れる,きたな .い;sale, se salir, polluer, souiller
N2;沈;チン;しず.む;couler, être submergé, être déprimé, aloès
N2;河;カ;かわ;rivière, fleuve
N2;沸;フツ;わ.く;bouillir, porter à ébullition, chauffer
N2;油;ユウ;あぶら;huile
N2;況;キョウ;まし.て,いわ.んや;condition, situation
N2;泉;セン;いずみ;source, fontaine
N2;泊;ハク;と.まる;passer la nuit, loger, séjour, ancrage
N2;波;ハ;なみ;vague, onde
N2;泣;キュウ;な.く;pleurer, sangloter
N2;泤;デイ;どろ;boue, bourbe, voleur
N2;浅;セン;あさ.い;peu profond, superficiel
N2;浴;ヨク;あ.びる;se baigner, se dorer (au soleil)
N2;液;エキ -;;liquide, fluide, sécrétion
N2;混;コン;ま.じる;mélanger, mêler, confusion
N2;清;セイ,ショウ;きよ.い,きよ.める;clair, limpide, purifier
N2;減;ゲン;へ.る;décliner, décroître
N2;温;オン;あたた .かい,あたた .め る;chaud, réchauffer
N2;測;ソク;はか.る;mesurer, doser, plan
N2;湖;コ;みずうみ;lac
N2;湯;トウ;ゆ;eau chaude
N2;湾;ワン -;;baie, golfe, crique
N2;湿;シツ,シュウ;しめ.る,うるお .う;humidité, moiteur, mouillé
N2;準;ジュン;じゅん .じる,ひと.しい,みずもり;demi -, quasi -, standard, se conformer à
N2;溶;ヨウ;と.ける;fondre, dissoudre
N2;滴;テキ;しずく,したた .る;goutte, s'écouler
N2;漁;ギョ,リョウ;あさ.る;pêcher
N2;濃;ノウ;こ.い;dense, concentré, épais
N2;濯;タク;すす.ぐ,ゆす.ぐ;laver, rincer, lessive
N2;灯;トウ;ひ;lampe, lumière électrique
N2;灰;カイ;はい;cendre
N2;炭;タン;すみ;charbon de bois, charbon
N2;無;ム,ブ;な.い;perdre, égarer, rien, négatif
N2;焼;ショウ;や.く,や.ける;griller, rôtir, brûler
N2;照;ショウ;て.る;briller, illuminer, comparer
N2;燃;ネン;も.える;consumer, brûler, flamber
N2;燥;ソウ;はしゃ .ぐ;assécher, tarir, être joyeux, s'amuser
N2;爆;バク;は.ぜる;bombe, exploser, faire sauter
N2;片;ヘン;かた;partie, fragment, un (d'une paire)
N2;版;ハン -;;impression, édition, plaque d'impression
N2;独;ドク,トク;ひと.り;seul, célibataire, unique
N2;狭;キョウ,コウ;せま.い,せば.める;étroit, exigu, se contracter
N2;率;ソツ,リツ;ひき.いる;taux, pourcentage, rapport
N2;玉;ギョク;たま;boule, sphère, bijou
N2;珍;チン;めずら .しい;étrange, bizarre, curieux
N2;環;カン;わ;anneau, cercle, maillon
N2;瓶;ビン;かめ;pot de fleur, fiole, bouteille, flacon
N2;甘;カン;あま.い;doux, sucré, dorloter, choyer
N2;畑;;はた,はたけ;champ
N2;畜;チク -;;bétail, animaux domestiques
N2;略;リャク;ほぼ,おか.す,おさ.め る;abbréviation, résumé, raccourci
N2;異;イ;こと,こと.なる;inhabituel, surprenant, bizzarerie
N2;療;リョウ -;;soin, traitement médical
N2;的;テキ;まと;objectif, cible, suffixe pour former des adjectifs
N2;皮;ヒ;かわ;peau, écorce, cuir
N2;皿;ベイ;さら;assiette, plat
N2;省;セイ,ショウ;かえり .みる;ministère, supprimer, évoquer le passé
N2;看;カン;み.る;regarder attentivement, veiller sur
N2;砂;サ;すな;sable
N2;硬;コウ;かた.い;raide, dur, rude
N2;磨;マ;みが.く,す.る;polir, astiquer, faire briller, brosser (les dents)
N2;祈;キ;いの.る;prier, vœu, prière
N2;祝;シュク,シュウ;いわ.う;célébrer, fêter
N2;祭;サイ;まつ.る,まつ.り,まつ り;célébrer, festival
N2;禁;キン -;;interdiction, interdire, défense de
N2;秒;ビョウ -;;seconde
N2;移;イ;うつ.る;déplacer, transporter, transférer
N2;税;ゼイ -;;taxe, impôt
N2;章;ショウ -;;chapître, insigne
N2;童;ドウ;わらべ;enfant
N2;競;キョウ,ケイ;きそ.う;compétition, rivaliser, concours
N2;竹;チク;たけ;bambou
N2;符;フ -;;ticket, marque, amulette
N2;第;ダイ,テイ -;;préfixe ordinal, degré, numéro
N2;筆;ヒツ;ふで;pinceau
N2;筒;トウ;つつ;cylindre, tube, tuyau, canon d'une arme
N2;算;サン;そろ;calcul
N2;管;カン;くだ;tuyau, tube, gestion
N2;節;セツ,セチ;ふし;période, saison, occasion
N2;簡;カン -;;simplicité, brièveté
N2;籍;セキ -;;enrôler, adhésion, registre (d'état civil, administratif)
N2;粉;フン;こ,こな;farine, poudre
N2;粒;リュウ;つぶ;grain, particule, compteur pour les particules
N2;糸;シ;いと;fil
N2;紅;コウ,ク;べに,くれない,あか.い;rouge foncé, cramoisi, rouge à lèvres
N2;純;ジュン -;;pureté, innocence, net (pour un bénéfice)
N2;級;キュウ -;;rang, niveau
N2;細;サイ;ほそ.い,こま.かい;fin, étroit, ténu
N2;紹;ショウ -;;présentations, introduction (d'une personne)
N2;結;ケツ;むす.ぶ;lier, nouer, attacher, organiser
N2;絡;ラク;から.む;entrelacer, s'enrouler autour, s'empêtrer dans
N2;綿;メン;わた;coton
N2;総;ソウ;す.べて;global, tout, entier
N2;緑;リョク,ロク;みどり;vert
N2;線;セン;すじ;ligne, voie, fil
N2;編;ヘン;あ.む;tresse, natte, tricoter, compilation
N2;練;レン;ね.る;s'entraîner, s'exercer り, よすが affinité, relation, bordure
N2;績;セキ -;;exploit, performance, coton non tissé
N2;缶;カン;かま;boîte de conserve, conteneur, récipient
N2;署;ショ -;;rôle, inscription, bureau (d'une administration)
N2;群;グン;む.れる;groupe, foule, attroupement, s'attrouper
N2;羽;ウ;は,はね;plume, compteur pour les oiseaux et les lapins
N2;翌;ヨク -;;suivant (dans le temps), celui d'après
N2;耕;コウ;たがや .す;labourer, cultiver
N2;肌;キ;はだ;peau, texture
N2;肩;ケン;かた;épaule
N2;肯;コウ;がえんじ .る;accord, consentement
N2;胃;イ -;;estomac
N2;胸;キョウ;むね;poitrine
N2;脂;シ;あぶら;gras, graisse
N2;脳;ノウ -;;cerveau
N2;腕;ワン;うで;bras, aptitude, capacité
N2;腰;ヨウ;こし;hanche, taille (pour une personne)
N2;膚;フ;はだ;peau, texture
N2;臓;ゾウ;はらわた;viscères, entraille
N2;臣;シン,ジン -;;serviteur, vassal, sujet
N2;舟;シュウ;ふね;bateau, navire, vaisseau
N2;航;コウ -;;navigation
N2;般;ハン -;;transporteur, général, global
N2;芸;ゲイ;う.える,のり;art, interprétation, habileté
N2;荒;コウ;あら.い,すさ.む,あ.れ る;brutal, violent, endommager, dévaster
N2;荷;カ;に;chargement, fardeau, bagage
N2;菓;カ -;;gâteau, friandise
N2;著;チョ,チャク;あらわ .す,いちじる .し い;exposer, publier, ouvrage littéraire, remarquable
N2;蒸;ジョウ,セイ;む.す;vapeur, dégager de la vapeur, étuver
N2;蔵;ゾウ,ソウ;くら,おさ.める,かく.れる;entrepôt, posséder, avoir, cacher
N2;薄;ハク;うす.い;fin, dilué, léger (au goût)
N2;虫;チュウ,キ;むし;insecte
N2;血;ケツ;ち;sang
N2;衣;イ,エ;ころも,きぬ;vêtement, habillement
N2;袋;タイ;ふくろ;sac, sacoche, mère
N2;被;ヒ;こうむ .る,おお.う,か;subir, recevoir, recouvrir, porter sur la tête,
N2;装;ソウ,ショウ;よそお .う;se revêtir, orner, s'habiller
N2;裏;リ;うら;opposé, revers, arrière
N2;補;ホ;おぎな .う;assister, compléter, assistant, complément
N2;製;セイ -;;fabriqué en, fabrication
N2;複;フク -;;multiple, répétitif, composé, compliqué
N2;角;カク;かど;angle, coin
N2;触;ショク;ふ.れる,さわ.る;toucher, contact, annoncer
N2;設;セツ;もう.ける;établir, fonder, créer
N2;評;ヒョウ -;;critiquer, commenter, évaluer
N2;詞;シ -;;mot, terme
N2;詰;キツ,キチ;つ.める;fermé, compact, réprimande, blâme
N2;誌;シ -;;revue, magazine, document
N2;課;カ -;;chapître, section, partie
N2;諸;ショ;もろ;divers, multiple, plusieurs
N2;講;コウ -;;cours, club, association
N2;谷;コク;たに;vallée
N2;豊;ホウ,ブ;ゆた.か,とよ;fertile, abondance, riche
N2;象;ゾウ,ショウ;かたど .る;éléphant, image, forme, phénomène
N2;貝;バイ;かい;coquillage
N2;貨;カ;たから;frêt, bien
N2;販;ハン -;;vente, commercialisation
N2;貯;チョ;た.める,たくわ .える;mettre de côté, stocker, économie, épargne
N2;貿;ボウ -;;commerce, échange
N2;賃;チン -;;tarif, frais, charge (monétaire)
N2;賞;ショウ;ほ.める;récompense, faire l'éloge de
N2;賢;ケン;かしこ .い;sagesse, intelligence
N2;贈;ゾウ;おく.る;offrir, donner, accorder, cadeau
N2;超;チョウ;こ.える;dépasser, excéder
N2;跡;セキ;あと;empreinte, trace, marque
N2;踊;ヨウ;おど.る;danser, bondir, sautiller
N2;身;シン;み;individu, chair, corps
N2;軍;グン -;;armée, troupes
N2;軒;ケン;のき;gouttière, auvent, compteur pour les maisons
N2;軟;ナン;やわ.らかい;mou, tendre, souple
N2;較;カク,コウ;くら.べる;comparer, comparaison, constraste
N2;輪;リン;わ;roue, anneau, compteur des fleurs ou des roues
N2;輸;ユ,シュ -;;transporter, envoyer
N2;辛;シン;から.い,つら.い;épicé, piquant, relevé
N2;農;ノウ -;;agriculture
N2;辺;ヘン;あた.り;alentours, les environs, le voisinage
N2;述;ジュツ;の.べる;expliquer, mentionner, déclarer
N2;逆;ギャク,ゲキ;さか,さか.さ,さか.ら う;contraire, inverse, opposé
N2;造;ゾウ;つく.る;construire, édifice
N2;郊;コウ -;;périphérie, banlieue
N2;郵;ユウ -;;poste, courrier
N2;量;リョウ;はか.る;peser, mesurer, étudier (une situation)
N2;針;シン;はり;aiguille
N2;鈍;ドン;にぶ.い,なま.る,なま く.ら;émoussé, lent, bête
N2;鉄;テツ;くろがね;fer
N2;鉱;コウ;あらがね;minerai
N2;銅;ドウ;あかがね;cuivre
N2;鋭;エイ;するど .い;pointu, tranchant, aiguisé forger
N2;錬;レン;ね.る;endurcir, améliorer, entrainer, perfectionner
N2;録;ロク -;;enregistrement, registre
N2;防;ボウ;ふせ.ぐ;prévenir d'un danger, protéger
N2;陸;リク;おか;continent, vaste étendue de terre
N2;隅;グウ;すみ;coin, recoin
N2;階;カイ;きざはし;étage, niveau, compteur d'étage
N2;隻;セキ -;;compteur pour les bateaux, un élément d'une paire, navire
N2;雇;コ;やと.う;employer, embaucher
N2;雲;ウン;くも;nuage
N2;零;レイ;ぜろ,こぼ.す;zéro, répandre, verser
N2;震;シン;ふる.う;secouer, frémir, tremblement
N2;革;カク;かわ;cuir, réforme, renouvellement
N2;順;ジュン -;;ordre, séquence, obéir, docilité
N2;預;ヨ;あず.ける;confier, se voir confier, dépôt, garde
N2;領;リョウ;えり;contrôle, juridiction, domaine
N2;額;ガク;ひたい;front, encadrement, montant, volume
N2;香;コウ,キョウ;かお.り,かお.る;parfum, senteur, parfumer
N2;駐;チュウ -;;stationnement, résident
N2;骨;コツ;ほね;os, armature
N2;麦;バク;むぎ;céréale, blé, orge, avoine, seigle
N2;黄;コウ,オウ;き;jaune
N2;鼻;ビ;はな;nez, museau, groin
N2;齢;レイ;よわい,とし;âge
N1;丁;チョウ,テイ;ひのと;bloc , adulte, exactitude, soin extrême
N1;丈;ジョウ;たけ,だけ;longueur, Mr, Mme, stature, taille, seulement
N1;且;ショ,ソ,ショウ;か.つ;de plus, en outre, et aussi
N1;丘;キュウ;おか;colline, butte
N1;丙;ヘイ;ひのえ;trois, troisième élément d'une série
N1;丹;タン;に;vermillon, couleur rouille, rouge
N1;乏;ボウ;とぼ.しい;insuffisance, dénuement, manque
N1;乙;オツ,イツ;おと,きのと;dernier, plein d'esprit, étrange, chic, piquant
N1;亀;キ;かめ;tortue
N1;井;セイ,ショウ;い;puits, margelle, ville
N1;亜;ア;つ.ぐ;Asie, suivant, sous -, sub
N1;享;キョウ,コウ;う.ける;recevoir, répondre (au téléphone), prendre, subir (un test, une opération)
N1;亭;テイ -;;pavillon, restaurant
N1;仁;ジン,ニ,ニン -;;bienveillance, humanité, charité
N1;仙;セン,セント -;;ermite, sorcier, centime (sen = 1/100 de yen)
