level;char;on;kun;meaning
N3;受;ジュ;う.ける;recevoir, passer (un examen), répondre (au téléphone)
N5;口;コウ,ク;くち;bouche
N5;古;コ;ふる.い;vieux, ancien
N4;台;ダイ,タイ;うてな,われ;support, socle
N5;右;ウ,ユウ;みぎ;droite
N3;号;ゴウ;さけ.ぶ,よびな;numéro, titre
N4;合;ゴウ,ガ;あ.う;correspondre, convenir
N4;同;ドウ;おな.じ;identique, égal, similaire
N5;名;メイ,ミョウ;な;nom, célèbre, fameux
N3;向;コウ;む.こう,む.く;se diriger vers, de l'autre côté
N3;君;クン;きみ;toi, tu, suffixe de nom ( -kun)
N3;吸;キュウ;す.う;aspirer, inhaler, absorber
N3;吹;スイ;ふ.く;souffler, respirer
N3;告;コク;つ.げる;informer, annoncer, révélation
N4;味;ミ;あじ,あじ.わう;saveur, goût, apprécier la saveur de
N3;呼;コ;よ.ぶ;appeler, inviter
N3;命;メイ;いのち;ordre, commandement, destin, vie
N3;和;ワ;やわ.らぐ,なご.やか;harmonie, paix, serein adoucir
N4;品;ヒン;しな;marchandise, article, compteur de plats
N4;員;イン -;;employé, membre
N3;商;ショウ;あきな .う;commerce, vente
N4;問;モン;と.う;question, demander, interroger
N3;喜;キ;よろこ .ぶ;se réjouir, être content
N5;四;シ;よ,よん;quatre
N4;回;カイ;まわ.る;tourner, tour
N3;因;イン;よ.る;cause, facteur, dépendre de
N3;困;コン;こま.る;être embarrassé, gêné
N4;図;ズ,ト;はか.る;carte, dessin, plan
N5;国;コク;くに;pays
N3;園;エン;その;parc, jardin
N5;土;ド,ト;つち;sol, terre, terrain
N3;在;ザイ;あ.る;exister, être
N4;地;チ,ジ;どま;sol, terre, terrain
N4;堂;ドウ -;;temple, sanctuaire, salle
N3;報;ホウ;むく.いる;rapport, information, faire savoir
N4;場;ジョウ,チョウ;ば;lieu, place, aire
N3;増;ゾウ;ふ.える,ま.す;augmenter, croître, accroissement
N4;声;セイ,ショウ;こえ;voix
N4;売;バイ;う.る;vendre
N3;変;ヘン;か.わる;étrange, bizarre, changer
N4;夏;カ;なつ;été
N4;夕;セキ;ゆう;soir, soirée
N5;外;ガイ;そと,はず.れ;extérieur, dehors
N4;夜;ヤ;よる;soir, soirée
N3;夢;ム,ボウ;ゆめ,ゆめ.みる;rêve, illusion
N5;大;ダイ,タイ;おお.きい;grand
N5;天;テン;あまつ,あめ;cieux, ciel, impérial
N4;太;タイ;ふと.い,ふと.る;gros, grossir
N3;夫;フ;おっと;mari, époux, homme
N3;失;シツ;うしな .う;erreur, faute, perdre (un objet)
N5;女;ジョ,ニョ,ニョウ;おんな,め;femme, féminin
N4;好;コウ;この.む,す.く,よ.い,い.い;bien aimé, apprécié, agréable
N4;妹;マイ;いもうと;sœur cadette, petite -sœur
N3;妻;サイ;つま;épouse, femme
N4;姉;シ;あね;sœur ainée, grande -sœur
N4;始;シ;はじ.める;commencer, débuter
N3;娘;ジョウ;むすめ,こ;fille
N3;婚;コン -;;mariage
N3;婦;フ;よめ;femme mariée, épouse
N5;子;シ,ス,ツ;こ;enfant
N4;字;ジ;あざ,あざな,な;caractère, lettre, mot, hameau
N3;存;ソン,ゾン -;;être conscient de, croire
N5;学;ガク;まな.ぶ;étudier, apprendre, science
N3;宅;タク -;;maison, résidence
N3;守;シュ,ス;まも.る,まも.り;protéger, défendre, gardien
N5;安;アン;やす.い;bon marché, peu cher, sûr, tranquille
N3;完;カン -;;parfait, totalité, achèvement
N3;官;カン -;;gouvernement, fonctionnaire
N3;定;テイ,ジョウ;さだ.める;établir, fixer, décider
N3;実;ジツ,シツ;み,みの.る,まこと;réalité, réel, véritable, porter ses fruits
N3;客;キャク,カク -;;client, hôte
N4;室;シツ;むろ;pièce, appartement, chambre
N3;害;ガイ -;;mal, blessure
N4;家;カ;いえ,や,うち;maison
N3;容;ヨウ;い.れる;forme (état de santé), apparence, contenir
N3;寄;キ;よ.る;rendre visite, approcher, collecter, envoyer
N3;富;フ,フウ;と.む,とみ;richesse, opulence, devenir riche
N4;寒;カン;さむ.い;froid (météorologique)
N3;寝;シン;ね.る;dormir, se reposer
N3;察;サツ -;;supposer, présumer, deviner, juger
N3;対;タイ;あいて,そろ.い,つれ あ.い;opposé, anti, opposition
N5;小;ショウ;ちい.さい,こ;petit
N5;少;ショウ;すく.ない,すこ.し;un peu, peu de
N3;局;キョク;つぼね;bureau, département
N3;居;キョ,コ;い.る,お.る;se trouver, être, exister
N4;屋;オク;や;maison, boutique, toît
N5;山;サン,セン;やま;montagne
N5;川;セン;かわ;rivière, fleuve
N4;工;コウ;もく;industrie, construction, fabrication
N5;左;サ,シャ;ひだり;gauche
N3;差;サ;さ.す,さ.し;différence, reste, désigner
N4;市;シ;いち;marché, ville
N3;師;シ,ス;もろもろ,なら.う;expert, professeur, maître
N3;席;セキ;むしろ;siège
N4;帰;キ;かえ.る;retourner (chez soi), aboutir à
N3;常;ジョウ;つね;habituel, normal, ordinaire
N3;平;ヘイ;ヒョウ;ひら paix, calme, plat
N5;年;ネン;とし;année, compteur pour les années
N3;幸;コウ;しあわ .せ;bonheur, fortune, chance
N3;幾;キ;いく;combien, quelques
N4;広;コウ;ひろ.い;large, vaste
N5;店;テン;みせ;magasin, échoppe
N4;度;ト;たび;fois, occurrence, degré (°C/F)
N3;座;ザ;すわ.る;s'asseoir, siège, rassemblement
N3;庭;テイ;にわ;jardin
N4;建;ケン,コン;た.てる;construire, construction
N3;式;シキ -;;méthode, style, cérémonie froid
N4;弟;テイ,ダイ;おとうと;frère cadet, apprenti, disciple
N4;弱;ジャク;よわ.い;faible
N4;強;キョウ;つよ.い;fort
N3;当;トウ;あ.たる;viser, toucher, approprié
N3;形;ケイ,ギョウ;かたち;forme, type, apparence
N3;役;ヤク,エキ -;;service, corvée, poste
N3;彼;ヒ;かれ,かの;il, celui -là
N4;待;タイ;ま.つ;attendre
N5;後;ゴ,コウ;のち,うし.ろ,あと,お く.れる;après, derrière
N3;徒;ト;いたずら,あだ;élève, compagnon, vain, futile
N3;得;トク;え.る,う.る;acquérir, obtenir, avantage, bénéfice
N3;御;ギョ,ゴ;おん,み;honorable, manipuler, contrôler, administrer
N4;心;シン;こころ;cœur, esprit
N3;必;ヒツ;かなら .ず;nécessaire, inévitable
N3;忘;ボウ;わす.れる;oublier
N3;忙;ボウ;いそが .しい,せわ.しい,おそ.れる;être occupé, débordé
N3;念;ネン -;;pensée, idée, souhait
